h0 iota phi0 psi TSTART TAU
2.5088687587626658e-25 1.974170252435167 3.000516030469982 0.47544046115715305 1000022266.0839064 32140.549171725575
3.5345965412923054e-25 0.9713253594400363 2.1002448862980834 1.117709029782686 1000012343.8207799 51838.47609930931
7.032205233389695e-26 0.4845361680282197 1.4830175950166766 1.4186739877746262 1000026731.0795668 85379.59624359499
2.2462207374802873e-24 1.5903460467860517 1.3183182137539102 1.5551355257265482 1000018047.096807 12987.6239899142
2.7162994912853373e-24 1.6910730362483404 3.0371306556416586 0.1647410186468317 1000018910.3634278 10281.983424309152
6.595878875527404e-25 1.4010704760325305 1.4846287335897475 1.4567262526887523 1000032549.8822203 57296.855777642864
1.2469606890981215e-24 1.6891227790122525 2.785538748834668 0.42164678905165587 1000014100.5326837 28234.701913881247
8.954488588658702e-25 1.2324791687640708 2.726916900297158 0.16967187932067118 1000019417.8943192 34494.30930657366
1.938935035155056e-24 1.6285602868524764 2.786127896183968 0.4108064541783168 1000012440.3118235 20823.7105870319
3.5621826427697983e-25 0.8057422109728527 2.887608770404837 0.13987939808049668 1000021054.1561258 33265.476388884796
7.51067979671589e-25 1.1545221807271262 1.7596951680701487 1.368520635931552 1000028469.9932225 25469.93499107223
1.862848742322064e-24 1.6406462225149665 2.8099010401393234 0.3457177645812925 1000014610.3374949 13657.183070593264
1.9111251387403318e-24 1.714645084358071 2.6459046992773154 0.08168946288354816 1000018419.8531768 13427.340843835555
2.7526375275049954e-25 1.2112109579435701 2.4402238920616983 0.5519744948390659 1000009265.7867832 83819.26733318651
1.5041074819440126e-24 1.66339341519189 2.904832892071948 0.2403739215511983 1000024832.7119118 10446.58631282205
1.967740738053367e-25 0.3998016009649378 2.083811936577327 0.9045056801887774 1000010169.3738736 51172.846547909554
2.85083207803737e-25 0.6618776055012768 2.2816611794140806 1.0270151846750757 1000029140.379299 31576.305393806128
1.932959990083854e-24 1.5481639752511012 1.3290226018351807 1.3917123994134049 1000023551.3370007 15900.67281569357
3.296270617607131e-25 1.881528941253977 2.6451606068097155 0.18634512266982867 1000017594.0986906 52026.181973303224
7.029013263907498e-25 1.544669624302648 2.619720474097303 0.16657711155457625 1000030000.1405897 16181.508168466742
6.05427221001226e-25 1.2815658860726304 3.0171242407569987 0.339331495055983 1000021167.2992947 48075.95911949835
3.486916904296568e-25 1.131800839365537 2.560977828107728 0.3681058791167234 1000024173.2652903 40669.17637217972
