h0 iota phi0 psi
1.3139887650874236e-24 1.5549255638647597 2.8796664800961054 0.20331596331067303
9.704468750313624e-25 1.416830912010281 2.816701535606979 0.20771446455862233
1.3026377741541236e-24 1.4398288598608302 2.8644942837989618 0.17166899111320622
9.412879127462834e-25 1.4434905139612166 2.8331373254493766 0.1998487701063022
1.1668689510521997e-24 1.4976457922281563 2.7946845105702045 0.2133889414203838
1.0685405558601956e-24 1.3937227303208994 2.8926414393247715 0.1396679144810597
9.682787622124157e-25 1.460582017502934 2.833406402722853 0.20290848236021872
1.2573687714976494e-24 1.4783066879192295 2.9347002103940247 0.10372994003808475
1.2135391057962253e-24 1.500038111628705 2.875792696456716 0.10524731563754246
1.065895764671518e-24 1.4112786508198267 2.934543249033983 0.20002574026202383
1.3194059633404796e-24 1.5102436041774103 2.878866817916234 0.1358010296963334
1.023287236949618e-24 1.5024737392376677 2.863243679404422 0.2366073149249427
1.2014012641502608e-24 1.414118210816771 2.9222180492332 0.1542595006932326
1.138736953262814e-24 1.4211256159545624 2.844441366473774 0.15653747918035982
9.955589821335311e-25 1.5064970173797112 2.8884940700285706 0.14334073381309415
1.160012534526971e-24 1.5230733614981198 2.956267020595545 0.17293037415436646
1.114916614214008e-24 1.5243178253280867 2.818830061313163 0.20936948654400098
1.0340225935969128e-24 1.4836645821643037 2.8498462085237395 0.2451490006557765
1.2168282729872672e-24 1.4663690359144446 2.8440969973693404 0.2385325404153489
1.314358344341269e-24 1.4695171055528127 2.8858734198479867 0.19755449280393583
1.1993743212941043e-24 1.5249895553805142 2.8190187369123394 0.18148525100416757
9.867772721292748e-25 1.4060714102842768 2.921004070038996 0.16548861647190458
1.3069701930434527e-24 1.4928751899706496 2.8642387729785495 0.14064722453641826
1.0450688239636349e-24 1.4831587336935734 2.820401116732131 0.16770202522637717
9.886415315143532e-25 1.4648727442433112 2.8409584890376505 0.17146885904750614
1.2076905921699685e-24 1.4536448496425032 2.8427267773037665 0.14446022778696088
1.0457191108893507e-24 1.4192266584074886 2.935385617299644 0.11956100581134183
1.16258212803503e-24 1.4919520959365886 2.8533100611141338 0.24889756338865712
9.738631613600072e-25 1.4653690063620166 2.885113826835979 0.21665603634663402
9.80826983036375e-25 1.4976408059881055 2.9034509231562313 0.18578826062852985
1.0251240538787465e-24 1.4959966389658357 2.8552633872429936 0.23189809795370928
1.2749826445924346e-24 1.449842513327743 2.921143966852723 0.17852803455516442
1.2476258232095035e-24 1.514378479246226 2.8907831368719545 0.11674087996455565
1.1333050426127405e-24 1.4051210795893054 2.927076066350887 0.1639610558690664
1.2850599914328646e-24 1.4701180164469296 2.8503805931985693 0.20469455324177888
1.178969658488847e-24 1.5430512340500298 2.8838852659095067 0.20703028392052258
1.181526950881945e-24 1.4119353516929072 2.90515436258038 0.16394387417741974
1.0297001033098627e-24 1.4650959988274876 2.8266779813004286 0.17115212129559643
1.1883405494419283e-24 1.5503815747589118 2.882735920836393 0.1770968357871469
1.0060299321516843e-24 1.4861054488423582 2.9254623564603084 0.1974647237021825
1.0501450924993923e-24 1.4516351791495337 2.8388561797488556 0.1496846697960504
1.0442011785788315e-24 1.4300066023600946 2.946307816427261 0.12236908589974671
1.0705368451977188e-24 1.515555314971008 2.9143611202662068 0.2138152116314626
1.1573497609213664e-24 1.5096412520634046 2.9321246871892637 0.10954600707917041
1.3026656524523847e-24 1.4840915107777886 2.919172520823148 0.18707908708675086
1.1038032118186784e-24 1.4135426944623664 2.9468916044713893 0.1444995725011974
1.3017225506701136e-24 1.5037747872911333 2.897966473432869 0.13102386986064268
1.1313264511610856e-24 1.4625748285818636 2.8114877397736406 0.18120049060632726
1.2169014118149557e-24 1.5277643070665452 2.8449399378151834 0.15110557445823355
1.0073933762354843e-24 1.4932737892425911 2.8746434032668806 0.22085970908205124
1.1154694568010711e-24 1.41471409937682 2.9339732898778004 0.18352689859657675
1.0585348717347429e-24 1.4079999806485246 2.8847232889140746 0.2126304123408607
1.1592118377226343e-24 1.419757884640567 2.8503812373926687 0.18655322086015527
1.1045240318809252e-24 1.5307649352965462 2.848830603289116 0.2133758177931692
1.1277017499344416e-24 1.5064110968335267 2.950608766618135 0.18918895840650665
1.1648923760773543e-24 1.4506789477150688 2.968394875170779 0.14555329672613665
1.09466051602942e-24 1.4583779203289824 2.8623821450534996 0.12208335831217806
1.0520352641781918e-24 1.4942189190237845 2.9467112348543902 0.13256501151503014
1.2742912409033201e-24 1.478458040150557 2.9436585184856883 0.16675553021459283
1.1780971538986322e-24 1.459297786834916 2.947585113519755 0.1956460528411501
1.212127790474835e-24 1.515196825270956 2.8901019153058 0.11648340478832077
1.1021553319905755e-24 1.4346119641215287 2.823931462669826 0.20410362231424378
1.2131393808234621e-24 1.4976255064366466 2.9461539337701046 0.11692528910797026
1.0997260782938605e-24 1.5369538921044203 2.915846333282352 0.15953283234469848
1.1596392288099617e-24 1.4453781332243956 2.821970413375686 0.19587249249909347
1.1825023869649543e-24 1.516027418663117 2.9069183468517994 0.11290108980547771
1.2581501041298374e-24 1.460834034362248 2.858709709371704 0.148569906534185
1.0494539102580341e-24 1.5283254971268778 2.8983865670932185 0.16159624351080873
1.0978206786782518e-24 1.5209464959140309 2.890831204110695 0.22310419855385466
1.0928891369949436e-24 1.536742246884497 2.8546976578564114 0.17986938419850387
1.2916798510701704e-24 1.4891373943359787 2.891693580225193 0.12955387927220258
1.148667547683552e-24 1.4222355938771218 2.889683490944312 0.1335194590238358
1.1148571483712086e-24 1.4347017905409114 2.8654635326997977 0.13260180260642265
1.0048365621946906e-24 1.4979025135163972 2.8550088082726486 0.19872981048069463
1.0422912541172177e-24 1.4629610927587933 2.9358344124526417 0.20409244913537292
1.1717637827824888e-24 1.4195074300574824 2.9243296422036456 0.1745340713917333
1.3115966407904078e-24 1.5071033646947662 2.867437983621554 0.16612761805340773
1.1647722986424938e-24 1.4937146941071016 2.9403418671059454 0.2052996538768349
1.1078320784593511e-24 1.5135225195578912 2.837130277145936 0.22329957282029955
